role	source_path	snapshot_path	source_bytes	snapshot_bytes	source_sha256	snapshot_sha256	byte_identical
template_checkpoint	tasks/MASTER_DEEP_REVIEW_WORKFLOW_CHECKPOINT__2026-07-30.md	snapshots/MASTER_DEEP_REVIEW_WORKFLOW_CHECKPOINT__2026-07-30.md	9713	9713	e527e2118d914bdbac8dc1be6ce5e63061802ffa0323a4d12f31cf7d46791789	e527e2118d914bdbac8dc1be6ce5e63061802ffa0323a4d12f31cf7d46791789	yes
extraction_training	tasks/CORE_EXTRACTION_ZONE_AND_CONVEY_TRAINING_LOG.md	snapshots/CORE_EXTRACTION_ZONE_AND_CONVEY_TRAINING_LOG.md	221187	221187	f462b4b3bfb84d5ffb7a4db13caa10ff241558c4ef70afc8ecf07879b5c96e81	f462b4b3bfb84d5ffb7a4db13caa10ff241558c4ef70afc8ecf07879b5c96e81	yes
extraction_examples	tasks/CORE_EXTRACTION_ZONE_EXAMPLE_LOG.md	snapshots/CORE_EXTRACTION_ZONE_EXAMPLE_LOG.md	19623	19623	4176612339ca7605feeda3c635d54e484a4dd3c398dd85fa18e8b32eb57859f1	4176612339ca7605feeda3c635d54e484a4dd3c398dd85fa18e8b32eb57859f1	yes
deep_review_journal	docs/AAT9_KIT/FINAL VALIDATION/final docs/AAT9_SUPER_HEAVYDUTY_DEEP_EXAMPLE_REVIEW_JOURNAL.md	snapshots/AAT9_SUPER_HEAVYDUTY_DEEP_EXAMPLE_REVIEW_JOURNAL.md	125961	125961	4da17c8dbded4805d296e8b680fe210865277b38cbfe067908e53529c51e90c3	4da17c8dbded4805d296e8b680fe210865277b38cbfe067908e53529c51e90c3	yes
deep_review_changelog	docs/AAT9_KIT/FINAL VALIDATION/final docs/AAT9_DEEP_EXAMPLE_REVIEW_CHANGELOG.md	snapshots/AAT9_DEEP_EXAMPLE_REVIEW_CHANGELOG.md	12615	12615	f059d65402e3c93ee68ae61dbf5f034e8963bb0e52852ab6ab285a0ec9475ff0	f059d65402e3c93ee68ae61dbf5f034e8963bb0e52852ab6ab285a0ec9475ff0	yes
v2_canonical_source	tasks/AAT9 Extraction V2 — Canonical Pre_GOLD_DAY_1_CHANGES–.txt	snapshots/EXTRACTION_V2_CANONICAL_PRE_GOLD_DAY2_PLAN_SOURCE.txt	17352	17352	eb4b0508ca8298c6f42effe2ae2ad49b97be2a52fbf1c3daa7402876eb4db5ab	eb4b0508ca8298c6f42effe2ae2ad49b97be2a52fbf1c3daa7402876eb4db5ab	yes
gold_day1_reconciliation	tasks/CHANGES_GOLD_DAY1.txt	snapshots/GOLD_DAY1_V2_RECONCILIATION_SOURCE.txt	16383	16383	87c3fd31f3cd71ba26fd93ec2f6c3b626d2e990955aee7096e9cb59bf983cbcf	87c3fd31f3cd71ba26fd93ec2f6c3b626d2e990955aee7096e9cb59bf983cbcf	yes
gold_day1_external_review	tasks/PRO_PATH_2_AUG2.txt	snapshots/GOLD_DAY1_EXTERNAL_REVIEW_SOURCE.txt	23573	23573	89ba7db093fbb7b0cd5872bd39daadfb9f451b09a927871bb8907f717cbd331a	89ba7db093fbb7b0cd5872bd39daadfb9f451b09a927871bb8907f717cbd331a	yes
v2_frozen_backlog	tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/CHATGPT_PRO_DEEP_REVIEW_PACKAGE_V1/04_FROZEN_EXTRACTION_V2_OPTIMIZATION_BACKLOG.md	snapshots/FROZEN_EXTRACTION_V2_OPTIMIZATION_BACKLOG.md	8715	8715	a631efbb133afca6b822010fd4beb1e7e18922464633ca788dbfdf2b303e39c9	a631efbb133afca6b822010fd4beb1e7e18922464633ca788dbfdf2b303e39c9	yes
theory_notes	tasks/POWER_THOUGHTS.txt	snapshots/POWER_THOUGHTS.txt	15458	15458	e2f6b8e38122095083465be78fdbd0e3e142fa05ad400d7acfcd54ba9cd3c540	e2f6b8e38122095083465be78fdbd0e3e142fa05ad400d7acfcd54ba9cd3c540	yes
system_direction	tasks/key_insights_important_1.txt	snapshots/KEY_INSIGHTS_IMPORTANT_1.txt	18805	18805	f1bb2296b62a33ac4f875321c95009759c6c1777052f735499d4b000b31ae493	f1bb2296b62a33ac4f875321c95009759c6c1777052f735499d4b000b31ae493	yes
git_advisory	tasks/PRO_GIT_SUMMARY.txt	snapshots/GIT_STABILIZATION_ADVISORY_SOURCE.txt	18606	18606	615c2fc3929b0ae62b9cda8aa992c939f04641e182958389b00bac65dca28c04	615c2fc3929b0ae62b9cda8aa992c939f04641e182958389b00bac65dca28c04	yes
gold_day1_start	tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/CHATGPT_PRO_DEEP_REVIEW_PACKAGE_V1/00_START_HERE.md	snapshots/gold_day1_package/00_START_HERE.md	4374	4374	6b530534bb921ba118d213b76c1fbaf4eebb45f6df6ffc129f8ba372cabf3e1a	6b530534bb921ba118d213b76c1fbaf4eebb45f6df6ffc129f8ba372cabf3e1a	yes
gold_day1_manifest_csv	tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/CHATGPT_PRO_DEEP_REVIEW_PACKAGE_V1/05_PACKAGE_MANIFEST.csv	snapshots/gold_day1_package/05_PACKAGE_MANIFEST.csv	52785	52785	265e2905e65a6719fcc37380396a29c6db7f4acffceb7801cfc575317baaeddb	265e2905e65a6719fcc37380396a29c6db7f4acffceb7801cfc575317baaeddb	yes
