best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
992,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.5448788923735801,1,1.0,own,1,13.877143,0.9873889054253283,13.877143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
266,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",266,0.5514835536611825,0,1.0,combined,2,13.177143,0.9741351301220716,13.177143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
221,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",122,0.5465316309986,0,1.0,combined,3,12.727143,0.9677141892505896,12.727143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
200,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",002,0.5370154879129788,0,1.0,combined,4,11.687143,0.9729607207080607,11.687143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
201,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",012,0.5584811124381613,0,1.0,combined,5,11.607143,0.9763349477346625,11.607143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
920,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",029,0.654188113761243,0,1.0,own,6,11.247143,0.9799976268279696,11.247143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
266,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",266,0.5760714244567121,0,1.0,own,7,10.777143,0.9533669369540613,10.777143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
221,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",122,0.5711798826082736,0,1.0,own,8,10.327143,0.9419419283273185,10.327143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
920,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",029,0.5756643510425494,1,1.0,combined,9,10.187143,0.9678726287299843,10.187143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
520,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",025,0.5370154879129788,0,1.0,combined,10,10.087143,0.9408037916417216,10.087143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
599,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.5262259093720688,0,1.0,own,11,9.737143,0.963672617943135,9.737143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
920,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",029,0.6312306626164005,0,1.0,combined,12,9.647143,0.9703060253208865,9.647143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
992,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.5179090021040188,1,1.0,combined,13,9.637143,0.9715940772546178,9.637143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
599,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.6118273690017372,0,1.0,combined,14,9.587143,0.9558073556932596,9.587143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
592,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",259,0.682979845580103,0,1.0,own,15,9.427143,0.9446951553543537,9.427143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
200,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",002,0.5617662349947085,0,1.0,own,16,9.287143,0.9512728113694443,9.287143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
201,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",012,0.5829754542011996,0,1.0,own,17,9.207143,0.9572948876779588,9.207143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
521,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",125,0.6659669267518202,0,1.0,combined,18,9.047143,0.94250300814692,9.047143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
920,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",029,0.5998883688639983,1,1.0,own,19,8.987143,0.9608986059586938,8.987143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
599,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.6352948493228071,0,1.0,own,20,8.787143,0.9462857624303807,8.787143,NewJersey4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
