best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
994,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",499,0.4866698262617676,1,1.0,combined,1,16.127143,0.9917372083225602,16.127143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
994,108,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",499,0.5736274542763555,0,1.0,own,2,14.927143,0.9928840542789424,14.927143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
994,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",499,0.5116645498437119,1,1.0,own,3,14.627143,0.9894028004543589,14.627143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
554,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5074994375506203,0,1.0,combined,4,11.99381,0.9839690479987433,11.99381,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
994,108,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",499,0.5241478655622194,0,1.0,combined,5,11.077143,0.9853629349287075,11.077143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
433,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",334,0.5324543063873187,0,1.0,combined,6,10.94381,0.977880758339693,10.94381,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
559,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.47418962903099204,1,1.0,combined,7,10.620476,0.9633741918765713,10.620476,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,1
554,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5293412500457856,0,1.0,own,8,10.09381,0.9723766567279195,10.09381,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
599,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.4866698262617676,0,1.0,combined,9,9.870476,0.9471501201424015,9.870476,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,1
547,6,"exact,vtrac,family_exact,family_vtrac",457,0.6524894621927444,0,1.0,combined,10,9.78131,0.9434493687582601,9.78131,NewYork4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Evening,0
559,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.4991666674382707,1,1.0,own,11,9.620476,0.9633741918765713,9.620476,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,1
543,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",345,0.6532449007182833,0,1.0,combined,12,9.56381,0.9482535766767995,9.56381,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
436,12,"exact,vtrac,family_exact,family_vtrac",346,0.776722311905043,0,1.0,combined,13,9.514643,0.9256152601457158,9.514643,NewYork4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Midday,0
436,12,"exact,vtrac,family_exact,family_vtrac",346,0.7935841346787332,0,1.0,own,14,9.464643,0.9308040856414208,9.464643,NewYork4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Midday,0
599,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.4991666674382707,0,1.0,combined,15,9.370476,0.9642623276122279,9.370476,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
594,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",459,0.5572478545985555,1,1.0,combined,16,9.277143,0.9278212446449907,9.277143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
559,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5,0,1.0,combined,17,9.147143,0.9601244542600316,9.147143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
433,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",334,0.551071269307342,0,1.0,own,18,9.00381,0.9612168045858079,9.00381,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
559,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5878295384825115,0,1.0,own,19,8.937143,0.9475772098867019,8.937143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
599,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.5116645498437119,0,1.0,own,20,8.870476,0.9471501201424015,8.870476,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,1
559,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5262259093720688,0,1.0,own,21,8.787143,0.9608986059586938,8.787143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
599,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.5241478655622194,0,1.0,own,22,8.670476,0.9585984729686929,8.670476,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
547,6,"exact,vtrac,family_exact,family_vtrac",457,0.6748052725823135,0,1.0,own,23,8.53131,0.9062340718007672,8.53131,NewYork4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Evening,0
940,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",049,0.5199893401555817,0,1.0,own,24,8.427143,0.9577108258246346,8.427143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
940,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",049,0.4950001666600003,0,1.0,combined,25,8.427143,0.9577108258246346,8.427143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
559,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5654555217038132,0,1.0,combined,26,8.427143,0.9446951553543537,8.427143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
992,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.6038819996942051,0,1.0,combined,27,8.237143,0.9363400955076433,8.237143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
594,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",459,0.5756643510425494,1,1.0,own,28,8.137143,0.9150145146730381,8.137143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
924,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",249,0.5978865281623102,0,1.0,own,29,8.04381,0.9111349246075365,8.04381,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
992,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.6275374060624975,0,1.0,own,30,8.037143,0.9363400955076433,8.037143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
599,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.5479769376367963,0,1.0,combined,31,7.937143,0.9281683082344765,7.937143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
403,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",034,0.6600087775582009,0,1.0,combined,32,7.777143,0.9166271890919516,7.777143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
543,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",345,0.6711372858206359,0,1.0,own,33,7.66381,0.9119802323620332,7.66381,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
599,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.5736274542763555,0,1.0,own,34,7.620476,0.9240174262069543,7.620476,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
992,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.5918616423862878,0,1.0,own,35,7.387143,0.9315516846152082,7.387143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
403,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",034,0.6820769986408672,0,1.0,own,36,7.177143,0.9166271890919516,7.177143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
924,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",249,0.5736274542763555,0,1.0,combined,37,7.04381,0.9111349246075365,7.04381,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
552,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.48708620592685237,0,1.0,combined,38,7.037143,0.9315516846152083,7.037143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
540,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",045,0.5124973964842103,0,1.0,own,39,6.997143,0.9302171829365263,6.997143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
540,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",045,0.48750260351578967,0,1.0,combined,40,6.997143,0.9302171829365263,6.997143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
552,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.5095821599910887,0,1.0,own,41,6.957143,0.9288576214547277,6.957143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
992,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.5644314289887559,0,1.0,combined,42,6.937143,0.9281683082344766,6.937143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
241,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",124,0.7375616214876249,0,1.0,own,43,6.81381,0.9098524361351199,6.81381,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
241,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",124,0.71775105695774,0,1.0,combined,44,6.81381,0.9098524361351199,6.81381,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
524,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",245,0.6681877721681662,0,1.0,own,45,6.647143,0.9024005540023999,6.647143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
524,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",245,0.6399160967377341,0,1.0,combined,46,6.607143,0.9005269768828865,6.607143,NewYork4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
